,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
115537,115998,3/3/1942,CBI,GREAT BRITAIN,BLEN,"""MINGALADON AIRFIELD, RANGOON""",BURMA,16.907305,96.133222,BURMA,BILIN RIVER AREA MT,17.217,97.23299999999999,,,250 LB GP (GP-M57),6000,3.0,,,,,,,,,6000.0,3.0
115538,115999,3/4/1942,CBI,GREAT BRITAIN,BLEN,"""MINGALADON AIRFIELD, RANGOON""",BURMA,16.907305,96.133222,BURMA,PYINBON E/POS,24.2,94.51700000000001,,,250 LB GP (GP-M57),3000,1.5,,,,,,,,,3000.0,1.5
115539,116000,3/4/1942,CBI,GREAT BRITAIN,BLEN,"""MINGALADON AIRFIELD, RANGOON""",BURMA,16.907305,96.133222,BURMA,PYAGYI E/POS,19.183332999999998,94.883333,,,250 LB GP (GP-M57),2000,1.0,,,,,,,,,2000.0,1.0
115653,116114,4/29/1945,MTO,,A26,,,,,ITALY,45 40 N 010 00 E,45.67,10.0,140.0,,,,,,,,,,,,1.0,,1.0
115690,116151,4/29/1945,MTO,,A26,,,,,ITALY,45 40 N 010 20 E,45.67,10.33,,,,,,,,,,,,,1.0,,1.0
115698,116159,4/29/1945,CBI,USA,B25,,,,,BURMA,PAUNGDE,18.48333333,95.5,27.0,,100 LB GP (GP-M30),,7.0,,84 LB INCENDIARY (14X6 CLUSTER) I-M12,,7.0,,,,,,14.0
115700,116161,4/29/1945,PTO,USA,P51,,,,,PHILIPPINE ISLANDS,KUYAPI RIVER,14.78333333,121.63333329999999,50.0,,,,,,,,,92.30769231,260 LB FRAG,,12.0,,12.0
115714,116175,4/30/1945,PTO,USA,P51,,,,,PHILIPPINE ISLANDS,MAMUYO RIVER,14.75,121.36666670000001,1.0,100.0,,,,,,,,92.30769231,260 LB FRAG,,12.0,,12.0
115717,116178,4/30/1945,PTO,USA,P51,,,,,PHILIPPINE ISLANDS,MARELLA RIVER,15.05,120.33333329999999,1.0,100.0,,,,,,,,92.30769231,260 LB FRAG,,12.0,,12.0
115718,116179,4/30/1945,PTO,NEW ZEALAND,PV-1 VENTURA,BOUGAINVILLE ISLAND,SOLOMON ISLANDS,-6.244444,155.38388899999998,,MUGUAI,-6.7,155.81666669999998,,60.0,500 LB GP (GP-M43/M64),30000,15.0,,,,0.0,,,,0.0,30000.0,15.0
115723,116184,4/30/1945,PTO,USA,B24,,,,,FORMOSA AND RYUKYU ISLANDS,TAIEN,23.08333333,121.16666670000001,120.0,36.0,1000 LB SAP(SA-M59),,18.0,,,,,,,,,,18.0
115735,116196,4/30/1945,CBI,USA,P51,,,,,CHINA,TUNGPU,31.6167,98.3333,20.0,8.0,500 LB GP (GP-M43/M64),,2.0,,,,,,,,,,2.0
115832,116293,12/4/1944,MTO,USA,B25,,,,,ITALY,BAGNA CAVALLO,44.4,11.97,10.0,,,,,,,,,,,,31.0,,31.0
115841,116302,3/5/1942,CBI,GREAT BRITAIN,BLEN,"""MINGALADON AIRFIELD, RANGOON""",BURMA,16.907305,96.133222,BURMA,WAW VILLAGE,17.4667,96.6833,,,250 LB GP (GP-M57),4000,2.0,,,,,,,,,4000.0,2.0
