,Mission ID,Mission Date,Theater of Operations,Country,Aircraft Series,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target Country,Target City,Target Latitude,Target Longitude,Altitude,High Explosives,High Explosives Type,High Explosives Weight LBS,High Explosives Weight Tons,Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight LBS,Incendiary Devices Weight Tons,Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight LBS,Fragmentation Devices Weight Tons,Total Weight LBS,Total Weight Tons
9766,9767,9/19/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,TEORA,40.85,15.25,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
9776,9777,9/20/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,SALERNO,40.67,14.73,,40,500 LB GP (GP-M43/M64),,10,,,,,,,,,,10
10035,10036,9/21/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,MONTELLA,40.83,15.02,,30,500 LB GP (GP-M43/M64),,7.5,,,,,,,,,,7.5
10333,10334,9/22/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,AVELLINO,40.9,14.78,,0,500 LB GP (GP-M43/M64),,0,,,,,,,,,,0
10616,10617,9/22/1943,MTO,GREAT BRITAIN,HALI,OUDNA,TUNISIA,36.649608,10.121936,CRETE,CALATO,36.47,28.33,,,,,,,,,0,,,,0,,0
10624,10625,9/23/1943,MTO,USA,A36,CAPACCIO,ITALY,40.421181,15.00565,ITALY,SERINO,40.12,15.83,,38,500 LB GP (GP-M43/M64),,9.5,,,,,,,,,,9.5
10937,10938,9/24/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,BAROMISSI,40.73,14.75,,24,500 LB GP (GP-M43/M64),,6,,,,,,,,,,6
11101,11102,9/25/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,SEZZE,41.48,13.08,,40,500 LB GP (GP-M43/M64),,10,,,,,,,,,,10
11102,11103,9/25/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,SANTA LUCIA,45.05,11,,20,500 LB GP (GP-M43/M64),,5,,,,,,,,,,5
11103,11104,9/25/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,NOCERA,40.73,14.62,,16,500 LB GP (GP-M43/M64),,4,,,,,,,,,,4
11440,11441,9/27/1943,MTO,USA,A36,SELE AIRFIELD,ITALY,40.497397,14.943019,ITALY,SANTA SEVERA,42.02,11.95,,20,500 LB GP (GP-M43/M64),,5,,,,,,,,,,5
