Target Latitude,Target Longitude,Hello
6,170,Unique
6,172,Unique
7,9,Unique
7,39,Unique
7,101,Unique
7,117,Unique
7,122,Unique
7,124,Unique
7,125,Unique
7,126,Unique
7,127,Unique
7,134,Unique
7,135,Unique
7,143,Unique
7,144,Unique
7,149,Unique
7,152,Unique
7,158,Unique
7,160,Unique
7,171,Unique
7,172,Unique
8,121,Unique
8,123,Unique
8,124,Unique
8,125,Unique
8,126,Unique
8,135,Unique
8,137,Unique
8,140,Unique
8,147,Unique
8,148,Unique
8,152,Unique
8,154,Unique
8,155,Unique
8,163,Unique
8,171,Unique
8,172,Unique
9,39,Unique
9,118,Unique
9,123,Unique
9,124,Unique
9,125,Unique
9,126,Unique
9,138,Unique
9,150,Unique
9,152,Unique
9,161,Unique
9,168,Unique
9,170,Unique
9,171,Unique
9,172,Unique
10,42,Unique
10,98,Unique
10,104,Unique
10,106,Unique
10,107,Unique
10,114,Unique
10,119,Unique
10,120,Unique
10,121,Unique
10,123,Unique
10,124,Unique
10,126,Unique
10,138,Unique
10,139,Unique
10,145,Unique
10,150,Unique
10,161,Unique
10,165,Unique
10,170,Unique
11,37,Unique
11,40,Unique
11,82,Unique
11,95,Unique
11,105,Unique
11,107,Unique
11,108,Unique
11,109,Unique
11,119,Unique
11,120,Unique
11,122,Unique
11,123,Unique
11,124,Unique
11,125,Unique
11,126,Unique
11,151,Unique
11,167,Unique
12,93,Unique
12,98,Unique
12,99,Unique
12,105,Unique
12,107,Unique
12,109,Unique
12,115,Unique
12,120,Unique
12,121,Unique
12,122,Unique
12,123,Unique
12,124,Unique
12,125,Unique
12,162,Unique
13,36,Unique
13,37,Unique
13,38,Unique
13,40,Unique
13,43,Unique
13,93,Unique
13,99,Unique
13,109,Unique
13,121,Unique
13,122,Unique
13,123,Unique
13,124,Unique
13,125,Unique
13,145,Unique
13,146,Unique
14,98,Unique
14,100,Unique
14,101,Unique
14,104,Unique
14,109,Unique
14,111,Unique
14,120,Unique
14,121,Unique
14,122,Unique
14,123,Unique
14,124,Unique
14,145,Unique
15,0,Unique
15,13,Unique
15,36,Unique
15,37,Unique
15,39,Unique
15,97,Unique
15,98,Unique
15,101,Unique
15,109,Unique
15,110,Unique
15,115,Unique
15,120,Unique
15,121,Unique
15,122,Unique
15,146,Unique
15,169,Unique
16,6,Unique
16,38,Unique
16,39,Unique
16,40,Unique
16,94,Unique
16,95,Unique
16,96,Unique
16,98,Unique
16,108,Unique
16,120,Unique
16,121,Unique
16,122,Unique
16,124,Unique
16,146,Unique
17,94,Unique
17,95,Unique
17,96,Unique
17,97,Unique
17,98,Unique
17,99,Unique
17,100,Unique
17,110,Unique
17,111,Unique
17,112,Unique
17,120,Unique
17,121,Unique
17,122,Unique
17,146,Unique
18,94,Unique
18,95,Unique
18,96,Unique
18,97,Unique
18,98,Unique
18,99,Unique
18,100,Unique
18,101,Unique
18,106,Unique
18,109,Unique
18,110,Unique
18,120,Unique
18,121,Unique
18,122,Unique
18,146,Unique
19,94,Unique
19,95,Unique
19,96,Unique
19,97,Unique
19,98,Unique
19,99,Unique
19,105,Unique
19,106,Unique
19,109,Unique
19,110,Unique
19,111,Unique
19,121,Unique
19,122,Unique
19,167,Unique
20,93,Unique
20,94,Unique
20,95,Unique
20,96,Unique
20,97,Unique
20,98,Unique
20,105,Unique
20,106,Unique
20,107,Unique
20,108,Unique
20,110,Unique
20,111,Unique
20,113,Unique
20,115,Unique
20,122,Unique
20,145,Unique
20,167,Unique
21,91,Unique
21,92,Unique
21,93,Unique
21,94,Unique
21,95,Unique
21,96,Unique
21,97,Unique
21,98,Unique
21,99,Unique
21,100,Unique
21,103,Unique
21,105,Unique
21,106,Unique
21,107,Unique
21,108,Unique
21,110,Unique
21,112,Unique
22,93,Unique
22,94,Unique
22,95,Unique
22,96,Unique
22,97,Unique
22,98,Unique
22,99,Unique
22,100,Unique
22,102,Unique
22,104,Unique
22,105,Unique
22,106,Unique
22,107,Unique
22,108,Unique
22,111,Unique
22,113,Unique
22,114,Unique
22,120,Unique
22,121,Unique
22,122,Unique
23,89,Unique
23,94,Unique
23,95,Unique
23,96,Unique
23,97,Unique
23,98,Unique
23,99,Unique
23,102,Unique
23,104,Unique
23,105,Unique
23,106,Unique
23,107,Unique
23,108,Unique
23,109,Unique
23,110,Unique
23,111,Unique
23,112,Unique
23,113,Unique
23,114,Unique
23,115,Unique
23,116,Unique
23,117,Unique
23,120,Unique
23,121,Unique
23,122,Unique
23,125,Unique
23,130,Unique
24,93,Unique
24,94,Unique
24,95,Unique
24,96,Unique
24,97,Unique
24,98,Unique
24,99,Unique
24,102,Unique
24,109,Unique
24,110,Unique
24,111,Unique
24,112,Unique
24,113,Unique
24,114,Unique
24,116,Unique
24,117,Unique
24,118,Unique
24,120,Unique
24,121,Unique
24,122,Unique
24,124,Unique
24,154,Unique
25,94,Unique
25,95,Unique
25,96,Unique
25,97,Unique
25,98,Unique
25,99,Unique
25,102,Unique
25,103,Unique
25,104,Unique
25,108,Unique
25,109,Unique
25,110,Unique
25,111,Unique
25,114,Unique
25,117,Unique
25,118,Unique
25,120,Unique
25,121,Unique
25,122,Unique
25,124,Unique
25,141,Unique
26,17,Unique
26,96,Unique
26,97,Unique
26,98,Unique
26,99,Unique
26,110,Unique
26,111,Unique
26,112,Unique
26,113,Unique
26,114,Unique
26,115,Unique
26,117,Unique
26,118,Unique
26,119,Unique
26,127,Unique
26,128,Unique
26,141,Unique
26,153,Unique
27,96,Unique
27,97,Unique
27,98,Unique
27,100,Unique
27,110,Unique
27,111,Unique
27,112,Unique
27,113,Unique
27,114,Unique
27,115,Unique
27,116,Unique
27,118,Unique
27,119,Unique
27,128,Unique
27,142,Unique
27,173,Unique
28,-179,Unique
28,95,Unique
28,98,Unique
28,102,Unique
28,110,Unique
28,112,Unique
28,113,Unique
28,114,Unique
28,115,Unique
28,116,Unique
28,117,Unique
28,120,Unique
28,121,Unique
28,122,Unique
28,129,Unique
28,130,Unique
29,101,Unique
29,110,Unique
29,111,Unique
29,112,Unique
29,113,Unique
29,114,Unique
29,116,Unique
29,119,Unique
29,120,Unique
29,121,Unique
30,-179,Unique
30,11,Unique
30,19,Unique
30,20,Unique
30,21,Unique
30,24,Unique
30,29,Unique
30,104,Unique
30,109,Unique
30,112,Unique
30,113,Unique
30,114,Unique
30,115,Unique
30,116,Unique
30,117,Unique
30,119,Unique
30,120,Unique
30,121,Unique
30,122,Unique
30,130,Unique
30,131,Unique
30,178,Unique
31,-179,Unique
31,15,Unique
31,16,Unique
31,17,Unique
31,19,Unique
31,20,Unique
31,25,Unique
31,27,Unique
31,28,Unique
31,29,Unique
31,36,Unique
